subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,ci_alpha,code_protocol_version,feature_fit_protocol,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,0.0,1,1train,nearest,True,0.5336413497361561,0.0,direct,0.15479429421145158,0.10951923406953266,0.2075532201523754
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,0.0,1,1train,target,False,,0.0,direct,0.15479429421145158,0.10951923406953266,0.2075532201523754
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,0.0,1,1train,train,True,0.5336413497361561,0.0,direct,0.15479429421145158,0.10951923406953266,0.2075532201523754
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,1.0,2,2train,far,False,,0.0,direct,0.2677908118498112,0.21720981663009,0.3341826663503873
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,1.0,2,2train,not_used,False,,0.0,direct,0.2677908118498112,0.21720981663009,0.3341826663503873
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,1.0,2,2train,not_used,False,,0.0,direct,0.2677908118498112,0.21720981663009,0.3341826663503873
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,2.0,3,3test,far,False,,0.0,direct,0.42666275895036443,0.3645532122278271,0.47829302418358366
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,2.0,3,3test,not_used,False,,0.0,direct,0.42666275895036443,0.3645532122278271,0.47829302418358366
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,2.0,3,3test,not_used,False,,0.0,direct,0.42666275895036443,0.3645532122278271,0.47829302418358366
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,3.0,4,4test,near,False,0.4663586502638438,0.0,direct,0.17712698870369464,0.12154894447751857,0.2346483324437963
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,3.0,4,4test,proxy_source,False,1.0,0.0,direct,0.17712698870369464,0.12154894447751857,0.2346483324437963
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,3.0,4,4test,train,False,0.4663586502638438,0.0,direct,0.17712698870369464,0.12154894447751857,0.2346483324437963
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,,0,0train,target,False,,,,,,
1,bnci004,MMP_moe,CSP,lda,none,0,0,0,3894,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,,0,0train,target,False,,,,,,
1,bnci004,MMP_moe,CSP,lda,none,0,1,1,3925,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,0.0,0,0train,nearest,True,1.0,1.0,direct,0.14308598774797054,0.097934310345209,0.18792818336857597
1,bnci004,MMP_moe,CSP,lda,none,0,1,1,3925,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,0.0,0,0train,target,False,,1.0,direct,0.14308598774797054,0.097934310345209,0.18792818336857597
1,bnci004,MMP_moe,CSP,lda,none,0,1,1,3925,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,final,0.0,0,0train,train,True,1.0,1.0,direct,0.14308598774797054,0.097934310345209,0.18792818336857597
1,bnci004,MMP_moe,CSP,lda,none,0,1,1,3925,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,main,1.0,2,2train,far,False,,1.0,direct,0.3178659987831032,0.2634984835996137,0.37611172273670435
1,bnci004,MMP_moe,CSP,lda,none,0,1,1,3925,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,moe,coral,near_nearest_proxy,anchor,1.0,2,2train,not_used,False,,1.0,direct,0.3178659987831032,0.2634984835996137,0.37611172273670435
