subject,pair_id,target_session_abs_idx,target_session_label,train_local_idx,train_session_abs_idx,train_session_label,feature,dist_type,dist_est,dist_lwr,dist_upr,is_near_bridge,is_final_source,is_bdp_far_raw,is_bdp_proxy_source_fb,is_bdp_proxy_target_fb,is_mmp_proxy_source,is_mmp_proxy_target,is_best_nearest,degraded,partition_mode
1,0,0,0train,0,1,1train,CSP,mmd,0.15592354258071514,0.10961049393234695,0.2075591246986504,True,True,False,False,True,False,True,True,False,normal
1,0,0,0train,1,2,2train,CSP,mmd,0.2683305305797913,0.21862570258412709,0.32952731181112144,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,2,3,3test,CSP,mmd,0.43303375183487075,0.37910620805996553,0.4897000306255299,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,3,4,4test,CSP,mmd,0.1787217715601183,0.13288418743248417,0.22545901758906034,True,True,False,False,True,True,False,False,False,normal
1,0,0,0train,0,1,1train,logvar,mmd,0.14391231653798534,0.09646254851028997,0.19713338708468053,True,True,False,False,True,False,True,True,False,normal
1,0,0,0train,1,2,2train,logvar,mmd,0.36579625592157855,0.29832026271295325,0.44219581550732995,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,2,3,3test,logvar,mmd,0.6042076264241452,0.5268758712857065,0.6835855932590226,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,3,4,4test,logvar,mmd,0.20973951735579777,0.15489573694241515,0.2753779520694301,True,True,False,False,True,True,False,False,False,normal
1,0,0,0train,0,1,1train,TS,mmd,0.13975306462909728,0.11389276700126562,0.16943503994157771,True,True,False,False,True,False,True,True,False,normal
1,0,0,0train,1,2,2train,TS,mmd,0.2666644206282052,0.21488254339189514,0.32316674506482573,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,2,3,3test,TS,mmd,0.43716928051596143,0.37321294592452475,0.4970040912724766,False,False,True,True,False,False,False,False,False,normal
1,0,0,0train,3,4,4test,TS,mmd,0.1852528358163833,0.13731497787650848,0.23934584292527294,True,True,False,False,True,True,False,False,False,normal
1,1,1,1train,0,0,0train,CSP,mmd,0.13932566883254655,0.10171851445264807,0.18574349883938118,True,True,False,False,True,False,True,True,False,normal
1,1,1,1train,1,2,2train,CSP,mmd,0.3168806895427908,0.25185692887905936,0.38082305640258163,False,False,False,False,False,False,False,False,False,normal
1,1,1,1train,2,3,3test,CSP,mmd,0.4304107616456963,0.38803297271269693,0.48678296973311974,False,False,True,True,False,False,False,False,False,normal
1,1,1,1train,3,4,4test,CSP,mmd,0.3085149635445966,0.25754488761572547,0.3654951488237338,False,False,True,True,False,True,False,False,False,normal
1,1,1,1train,0,0,0train,logvar,mmd,0.1325304983488302,0.09602736877798237,0.18510323852354438,True,True,False,False,True,False,True,True,False,normal
1,1,1,1train,1,2,2train,logvar,mmd,0.399751319400118,0.31443402397341047,0.48595321714394174,False,False,True,True,False,False,False,False,False,normal
1,1,1,1train,2,3,3test,logvar,mmd,0.7020674502707607,0.6391472747899098,0.7695372761574198,False,False,True,True,False,False,False,False,False,normal
1,1,1,1train,3,4,4test,logvar,mmd,0.3529377821377055,0.27703245448896247,0.41858864907148313,False,False,False,False,False,True,False,False,False,normal
1,1,1,1train,0,0,0train,TS,mmd,0.1195354380939138,0.09908084286952072,0.142872554996175,True,True,False,False,True,False,True,True,False,normal
1,1,1,1train,1,2,2train,TS,mmd,0.24140418975407452,0.1938355791307807,0.28375870790045027,False,False,True,True,False,False,False,False,False,normal
1,1,1,1train,2,3,3test,TS,mmd,0.44492880725118544,0.39376845849759184,0.49018814153463747,False,False,True,True,False,False,False,False,False,normal
1,1,1,1train,3,4,4test,TS,mmd,0.20965184580798524,0.16449973847903088,0.2571213080605939,False,False,False,False,False,True,False,False,False,normal
1,2,2,2train,0,0,0train,CSP,mmd,0.199145555769287,0.15587823300226772,0.24280213709545526,True,True,False,False,True,True,False,False,False,normal
1,2,2,2train,1,1,1train,CSP,mmd,0.3458734833024977,0.2958400386530162,0.4080482820064939,False,False,True,True,False,False,False,False,False,normal
1,2,2,2train,2,3,3test,CSP,mmd,0.19854832969964298,0.1633233490143084,0.24177526648175382,True,True,False,False,True,False,True,True,False,normal
1,2,2,2train,3,4,4test,CSP,mmd,0.24903170893936669,0.19412956431413697,0.3036088254355643,True,True,False,False,True,True,False,False,False,normal
1,2,2,2train,0,0,0train,logvar,mmd,0.21801107278455054,0.18046237301320125,0.2637373045580546,True,True,False,False,False,True,False,False,True,
1,2,2,2train,1,1,1train,logvar,mmd,0.24716794060083355,0.20658413712668963,0.3036680144329791,True,True,False,False,False,True,False,False,True,
1,2,2,2train,2,3,3test,logvar,mmd,0.17098269244881595,0.13028348600782527,0.22677950774669398,True,True,False,False,False,False,True,True,True,
1,2,2,2train,3,4,4test,logvar,mmd,0.20066446702243929,0.15481540922739218,0.25128698289047685,True,True,False,False,False,True,False,False,True,
1,2,2,2train,0,0,0train,TS,mmd,0.11056848981064954,0.08889376568216663,0.1315893611220002,True,True,False,False,False,True,False,False,True,
1,2,2,2train,1,1,1train,TS,mmd,0.11874897158965343,0.09849217509184569,0.13956417295304396,True,True,False,False,False,True,False,False,True,
1,2,2,2train,2,3,3test,TS,mmd,0.10706158468246386,0.0802250664614027,0.13711643362714251,True,True,False,False,False,False,True,True,True,
1,2,2,2train,3,4,4test,TS,mmd,0.1165487290171372,0.09584541896082781,0.13654184723296497,True,True,False,False,False,True,False,False,True,
1,3,3,3test,0,0,0train,CSP,mmd,0.33728948517780993,0.29404984156383646,0.37957822392182,False,False,False,False,False,True,False,False,False,normal
1,3,3,3test,1,1,1train,CSP,mmd,0.49720733709487136,0.4489153701741973,0.5531265202952429,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,2,2,2train,CSP,mmd,0.219563399104353,0.1737728525598103,0.269712713107213,True,True,False,False,True,False,True,True,False,normal
1,3,3,3test,3,4,4test,CSP,mmd,0.3766167995443601,0.32290535589864083,0.4366885884046248,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,0,0,0train,logvar,mmd,0.3277534984298487,0.2795675194786623,0.37574674820563037,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,1,1,1train,logvar,mmd,0.3937247949880522,0.3460564295494192,0.4420858288566613,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,2,2,2train,logvar,mmd,0.1994011018548455,0.15018217800479658,0.25324551598536876,True,True,False,False,True,False,True,True,False,normal
1,3,3,3test,3,4,4test,logvar,mmd,0.2911329212941016,0.23330191004628323,0.36257794414146666,True,True,False,False,True,True,False,False,False,normal
1,3,3,3test,0,0,0train,TS,mmd,0.16734915107367798,0.14110191688026427,0.19052098673471082,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,1,1,1train,TS,mmd,0.1794183950096431,0.15208905761111247,0.20230687066949044,False,False,True,True,False,False,False,False,False,normal
1,3,3,3test,2,2,2train,TS,mmd,0.1085953588889561,0.08565233184514365,0.13492580809478932,True,True,False,False,True,False,True,True,False,normal
1,3,3,3test,3,4,4test,TS,mmd,0.1506712415834563,0.12770360729147284,0.17696536745290567,True,True,False,False,True,True,False,False,False,normal
1,4,4,4test,0,0,0train,CSP,mmd,0.13860868221527908,0.0984278585382021,0.18235825359028598,True,True,False,False,True,False,True,True,False,normal
1,4,4,4test,1,1,1train,CSP,mmd,0.30673219471493274,0.25170676187741275,0.3675363864411202,False,False,True,True,False,False,False,False,False,normal
1,4,4,4test,2,2,2train,CSP,mmd,0.21546450136978812,0.17501668615475865,0.2687611541442366,True,True,False,False,True,True,False,False,False,normal
1,4,4,4test,3,3,3test,CSP,mmd,0.3429458340565303,0.29443435443167765,0.39832769220675374,False,False,True,True,False,False,False,False,False,normal
1,4,4,4test,0,0,0train,logvar,mmd,0.15837907636435722,0.11473727528776105,0.2136627852783364,True,True,False,False,True,False,True,True,False,normal
1,4,4,4test,1,1,1train,logvar,mmd,0.3046839194790506,0.24927694252854132,0.36886863469282427,False,False,True,True,False,False,False,False,False,normal
1,4,4,4test,2,2,2train,logvar,mmd,0.18910490515261696,0.15014030100331643,0.2386993839343768,True,True,False,False,True,True,False,False,False,normal
1,4,4,4test,3,3,3test,logvar,mmd,0.382055118920229,0.3001696035754695,0.4542420459036043,False,False,True,True,False,False,False,False,False,normal
1,4,4,4test,0,0,0train,TS,mmd,0.11214367006003467,0.08512799491026847,0.14104680414711743,True,True,False,False,True,False,True,True,False,normal
1,4,4,4test,1,1,1train,TS,mmd,0.15495566752592724,0.12495918376578292,0.18352057357120338,True,True,False,False,True,True,False,False,False,normal
1,4,4,4test,2,2,2train,TS,mmd,0.12643418558240963,0.10583949647849289,0.15226216491319763,True,True,False,False,True,True,False,False,False,normal
1,4,4,4test,3,3,3test,TS,mmd,0.24219301611335667,0.19553138722554456,0.28526165676606374,False,False,True,True,False,False,False,False,False,normal
