subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,selection,0.0,1,1train,dropped,False,,0.0,boot_mean,0.15446631674735833,0.10598619044415555,0.21345699488103445
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,proxy,0.0,1,1train,not_used,False,,0.0,boot_mean,0.15446631674735833,0.10598619044415555,0.21345699488103445
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,final,0.0,1,1train,not_used,False,,0.0,boot_mean,0.15446631674735833,0.10598619044415555,0.21345699488103445
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,selection,1.0,2,2train,far,False,,0.0,boot_mean,0.1917249354642853,0.1419784031240201,0.24686678375139706
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,proxy,1.0,2,2train,proxy_source,False,,0.0,boot_mean,0.1917249354642853,0.1419784031240201,0.24686678375139706
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,final,1.0,2,2train,not_used,False,,0.0,boot_mean,0.1917249354642853,0.1419784031240201,0.24686678375139706
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,selection,2.0,3,3test,far,False,,0.0,boot_mean,0.22900995550773323,0.16241719343553007,0.293247157301258
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,proxy,2.0,3,3test,proxy_source,False,,0.0,boot_mean,0.22900995550773323,0.16241719343553007,0.293247157301258
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,final,2.0,3,3test,not_used,False,,0.0,boot_mean,0.22900995550773323,0.16241719343553007,0.293247157301258
6,bnci004,BDP,CSP,lda,none,0,0,0,3797,mmd,normal,far_to_bridge,,,,,bridge_proxy,selection,3.0,4,4test,bridge,True,,0.0,boot_mean,0.06454608285838438,0.038685267370175615,0.0979652274652018
