subject,pipeline,method_row,pair_id,feature,classifier,da,proxy_acc,score_mode,partition_mode,degraded
6,MMP_merge_then_adapt,0,0,CSP,lda,none,0.71875,mmp_near_nearest_proxy,normal,False
6,BDP,0,0,CSP,lda,none,0.7821428571428571,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,0,0,CSP,lda,none,0.725,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,1,0,CSP,lda,sa,0.8,mmp_near_nearest_proxy,normal,False
6,BDP,1,0,CSP,lda,sa,0.8107142857142857,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,1,0,CSP,lda,sa,0.821875,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,2,0,CSP,lda,pt,0.83125,mmp_near_nearest_proxy,normal,False
6,BDP,2,0,CSP,lda,pt,0.7964285714285714,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,2,0,CSP,lda,pt,0.825,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,3,0,CSP,lda,coral,0.74375,mmp_near_nearest_proxy,normal,False
6,BDP,3,0,CSP,lda,coral,0.7285714285714285,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,3,0,CSP,lda,coral,0.821875,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,4,0,CSP,svm_radial,none,0.75,mmp_near_nearest_proxy,normal,False
6,BDP,4,0,CSP,svm_radial,none,0.7892857142857143,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,4,0,CSP,svm_radial,none,0.73125,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,5,0,CSP,svm_radial,sa,0.75625,mmp_near_nearest_proxy,normal,False
6,BDP,5,0,CSP,svm_radial,sa,0.7892857142857143,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,5,0,CSP,svm_radial,sa,0.825,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,6,0,CSP,svm_radial,pt,0.79375,mmp_near_nearest_proxy,normal,False
6,BDP,6,0,CSP,svm_radial,pt,0.8,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,6,0,CSP,svm_radial,pt,0.81875,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,7,0,CSP,svm_radial,coral,0.7125,mmp_near_nearest_proxy,normal,False
6,BDP,7,0,CSP,svm_radial,coral,0.725,bridge_proxy_far_to_bridge,normal,False
6,BDP_bridge_to_far,7,0,CSP,svm_radial,coral,0.81875,bridge_proxy_bridge_to_far,normal,False
6,MMP_merge_then_adapt,8,0,logvar,lda,none,0.85625,mmp_near_nearest_proxy,,True
6,BDP,8,0,logvar,lda,none,0.8052083333333333,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,8,0,logvar,lda,none,0.8052083333333333,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,9,0,logvar,lda,sa,0.875,mmp_near_nearest_proxy,,True
6,BDP,9,0,logvar,lda,sa,0.8203125,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,9,0,logvar,lda,sa,0.8203125,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,10,0,logvar,lda,pt,0.85,mmp_near_nearest_proxy,,True
6,BDP,10,0,logvar,lda,pt,0.8130208333333333,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,10,0,logvar,lda,pt,0.8130208333333333,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,11,0,logvar,lda,coral,0.5,mmp_near_nearest_proxy,,True
6,BDP,11,0,logvar,lda,coral,0.584375,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,11,0,logvar,lda,coral,0.584375,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,12,0,logvar,svm_radial,none,0.84375,mmp_near_nearest_proxy,,True
6,BDP,12,0,logvar,svm_radial,none,0.8057291666666667,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,12,0,logvar,svm_radial,none,0.8057291666666667,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,13,0,logvar,svm_radial,sa,0.85625,mmp_near_nearest_proxy,,True
6,BDP,13,0,logvar,svm_radial,sa,0.8104166666666666,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,13,0,logvar,svm_radial,sa,0.8104166666666666,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,14,0,logvar,svm_radial,pt,0.84375,mmp_near_nearest_proxy,,True
6,BDP,14,0,logvar,svm_radial,pt,0.8208333333333333,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,14,0,logvar,svm_radial,pt,0.8208333333333333,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,15,0,logvar,svm_radial,coral,0.5,mmp_near_nearest_proxy,,True
6,BDP,15,0,logvar,svm_radial,coral,0.5,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,15,0,logvar,svm_radial,coral,0.5,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,16,0,TS,lda,none,0.7375,mmp_near_nearest_proxy,,True
6,BDP,16,0,TS,lda,none,0.821875,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,16,0,TS,lda,none,0.821875,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,17,0,TS,lda,sa,0.86875,mmp_near_nearest_proxy,,True
6,BDP,17,0,TS,lda,sa,0.8229166666666666,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,17,0,TS,lda,sa,0.8229166666666666,bridge_proxy_bridge_to_far,,True
6,MMP_merge_then_adapt,18,0,TS,lda,pt,0.64375,mmp_near_nearest_proxy,,True
6,BDP,18,0,TS,lda,pt,0.7942708333333333,bridge_proxy_far_to_bridge,,True
6,BDP_bridge_to_far,18,0,TS,lda,pt,0.7942708333333333,bridge_proxy_bridge_to_far,,True
