subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,ci_alpha,code_protocol_version,feature_fit_protocol,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,main,0.0,1,1train,nearest,True,1.0,0.0,direct,0.11093155515461177,0.0741798253180071,0.1479488281093727
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,anchor,0.0,1,1train,target,False,,0.0,direct,0.11093155515461177,0.0741798253180071,0.1479488281093727
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,final,0.0,1,1train,train,True,1.0,0.0,direct,0.11093155515461177,0.0741798253180071,0.1479488281093727
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,main,1.0,2,2train,far,False,,0.0,direct,0.5458085654465719,0.469537904167589,0.6117354707213364
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,anchor,1.0,2,2train,not_used,False,,0.0,direct,0.5458085654465719,0.469537904167589,0.6117354707213364
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,final,1.0,2,2train,not_used,False,,0.0,direct,0.5458085654465719,0.469537904167589,0.6117354707213364
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,main,2.0,3,3test,far,False,,0.0,direct,0.3686547787974523,0.2978088442252948,0.4469124940225476
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,anchor,2.0,3,3test,second_nearest_fallback_source,False,1.0,0.0,direct,0.3686547787974523,0.2978088442252948,0.4469124940225476
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,final,2.0,3,3test,not_used,False,,0.0,direct,0.3686547787974523,0.2978088442252948,0.4469124940225476
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,main,3.0,4,4test,far,False,,0.0,direct,0.46515883557012955,0.39929646685941395,0.5378448371144956
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,anchor,3.0,4,4test,not_used,False,,0.0,direct,0.46515883557012955,0.39929646685941395,0.5378448371144956
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,final,3.0,4,4test,not_used,False,,0.0,direct,0.46515883557012955,0.39929646685941395,0.5378448371144956
9,bnci004,MMP_merge_then_adapt,CSP,lda,none,0,0,0,3792,0.05,no_leakage_v1_alpha005,gate_all_sources_proxy_source_only_final_training_only,mmd,,,,,merge_then_adapt,coral,near_nearest_proxy,main,,0,0train,target,False,,,,,,
