subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,main,0.0,1,1train,s_star,True,1.0,0.0,direct,0.09861080347048212,0.07192111104983476,0.11918238307740056
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,anchor,0.0,1,1train,target,False,,1.0,direct,,,
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,final,0.0,1,1train,train,True,1.0,0.0,direct,0.09861080347048212,0.07192111104983476,0.11918238307740056
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,main,1.0,2,2train,dropped,False,,0.0,direct,0.5335527947708474,0.47409533282066274,0.5821815015583927
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,anchor,1.0,2,2train,anchor_dropped,False,,1.0,direct,0.40231723449107576,0.3944735082795844,0.4715590745701278
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,final,1.0,2,2train,not_used,False,,0.0,direct,0.5335527947708474,0.47409533282066274,0.5821815015583927
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,main,2.0,3,3test,dropped,False,,0.0,direct,0.3536548902992093,0.31152797658432946,0.4125307644944965
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,anchor,2.0,3,3test,anchor_source,False,0.48954628112431786,1.0,direct,0.26296041324238023,0.21544280101490376,0.3059556330271431
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,final,2.0,3,3test,not_used,False,,0.0,direct,0.3536548902992093,0.31152797658432946,0.4125307644944965
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,main,3.0,4,4test,dropped,False,,0.0,direct,0.46219207902649795,0.39947844584509573,0.5393555956117476
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,anchor,3.0,4,4test,anchor_best,True,0.5104537188756821,1.0,direct,0.25218989835518274,0.21633069209614578,0.28965898934200557
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,final,3.0,4,4test,not_used,False,,0.0,direct,0.46219207902649795,0.39947844584509573,0.5393555956117476
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,main,,0,0train,target,False,,,,,,
9,bnci004,MMP_moe,CSP,lda,none,0,0,0,4142,mmd,,,,,moe,coral,anchor_one_shot,final,,0,0train,target,False,,,,,,
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,main,0.0,0,0train,s_star,True,1.0,1.0,direct,0.09205643045364875,0.0783783471883362,0.13209399246302553
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,anchor,0.0,0,0train,target,False,,0.0,direct,,,
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,final,0.0,0,0train,train,True,1.0,1.0,direct,0.09205643045364875,0.0783783471883362,0.13209399246302553
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,main,1.0,2,2train,dropped,False,,1.0,direct,0.40212682482617024,0.358279889376987,0.43535263354260373
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,anchor,1.0,2,2train,anchor_dropped,False,,0.0,direct,0.5240620734058236,0.46680338619833806,0.5916135050923378
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,final,1.0,2,2train,not_used,False,,1.0,direct,0.40212682482617024,0.358279889376987,0.43535263354260373
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,main,2.0,3,3test,dropped,False,,1.0,direct,0.26712727279139475,0.27803551093045353,0.3186141153778596
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,anchor,2.0,3,3test,anchor_best,True,1.0,0.0,direct,0.35320820519920315,0.30440906838551285,0.43752716873184466
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,final,2.0,3,3test,not_used,False,,1.0,direct,0.26712727279139475,0.27803551093045353,0.3186141153778596
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,main,3.0,4,4test,dropped,False,,1.0,direct,0.2524022885441707,0.22290165604518442,0.3217630661773263
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,anchor,3.0,4,4test,anchor_dropped,False,,0.0,direct,0.45589467833370617,0.4405770929194494,0.5100677406274245
9,bnci004,MMP_moe,CSP,lda,none,0,1,1,4173,mmd,,,,,moe,coral,anchor_one_shot,final,3.0,4,4test,not_used,False,,1.0,direct,0.2524022885441707,0.22290165604518442,0.3217630661773263
