subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,0.0,1.0,sess_0,dropped,False,,,direct,0.20404790542855655,0.18240941577251576,0.25654853145689854
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,0.0,1.0,sess_0,anchor_source,False,0.49865338647742186,,direct,0.11298072763253414,0.0966224448981179,0.1591429091995989
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,0.0,1.0,sess_0,not_used,False,,,direct,0.20404790542855655,0.18240941577251576,0.25654853145689854
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,1.0,2.0,sess_1,dropped,False,,,direct,0.42198878098147935,0.42739977671177287,0.48894112699278813
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,1.0,2.0,sess_1,anchor_dropped,False,,,direct,0.5021918035324329,0.43195388424496167,0.5941978361621179
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,1.0,2.0,sess_1,not_used,False,,,direct,0.42198878098147935,0.42739977671177287,0.48894112699278813
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,2.0,3.0,sess_2,dropped,False,,,direct,0.32083282138440533,0.3035876545127658,0.3966364620791198
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,2.0,3.0,sess_2,anchor_dropped,False,,,direct,0.2355473470315601,0.20803397591285228,0.3001562178462221
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,2.0,3.0,sess_2,not_used,False,,,direct,0.32083282138440533,0.3035876545127658,0.3966364620791198
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,3.0,4.0,sess_3,dropped,False,,,direct,0.46269846542132054,0.427213259548091,0.5110037538011438
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,3.0,4.0,sess_3,anchor_dropped,False,,,direct,0.39477596012499294,0.36399657916107914,0.4162642281721821
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,3.0,4.0,sess_3,not_used,False,,,direct,0.46269846542132054,0.427213259548091,0.5110037538011438
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,4.0,5.0,sess_4,s_star,True,0.5527647189668191,,direct,0.1304576571453369,0.11461938828343438,0.16518412015242653
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,4.0,5.0,sess_4,target,False,,,direct,,,
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,4.0,5.0,sess_4,train,True,0.5527647189668191,,direct,0.1304576571453369,0.11461938828343438,0.16518412015242653
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,main,5.0,6.0,sess_5,dropped,False,,,direct,0.22251931777359268,0.23122666816913226,0.28651807854297157
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,anchor,5.0,6.0,sess_5,anchor_dropped,False,,,direct,0.1956140832753478,0.17868940126786417,0.24141570366510576
25,stieger2021,MMP_moe,CSP,lda,none,0,0,,5568,mmd,,,,,moe,coral,anchor_one_shot,final,5.0,6.0,sess_5,not_used,False,,,direct,0.22251931777359268,0.23122666816913226,0.28651807854297157
