subject,dataset,pipeline,feature,classifier,da,method_row,pair_id,target_id,seed_used,dist_type,partition_mode,proxy_direction,borrowed_local_idx,borrowed_abs_idx,combiner,harmonize,score_mode,stage,local_idx,session_abs_idx,session_label,role,is_best,weight,dist_to_session,dist_est_method,dist_est,dist_lwr,dist_upr
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,main,0.0,1.0,sess_0,dropped,False,,,direct,0.14069245611270345,0.1414502799176119,0.17526184232610773
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,anchor,0.0,1.0,sess_0,anchor_source,False,0.473825654420461,,direct,0.12784161654434587,0.1243383343338149,0.16361776781082762
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,final,0.0,1.0,sess_0,not_used,False,,,direct,0.14069245611270345,0.1414502799176119,0.17526184232610773
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,main,1.0,2.0,sess_1,dropped,False,,,direct,0.1506211818238064,0.15912531779261926,0.18487238794185504
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,anchor,1.0,2.0,sess_1,anchor_dropped,False,,,direct,0.16017770060448192,0.1548563994848111,0.20474717008219426
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,final,1.0,2.0,sess_1,not_used,False,,,direct,0.1506211818238064,0.15912531779261926,0.18487238794185504
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,main,2.0,3.0,sess_2,dropped,False,,,direct,0.21651791299700976,0.19846642979422266,0.2825659180963889
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,anchor,2.0,3.0,sess_2,anchor_dropped,False,,,direct,0.2881974699733434,0.2882890391044727,0.3596048687778353
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,final,2.0,3.0,sess_2,not_used,False,,,direct,0.21651791299700976,0.19846642979422266,0.2825659180963889
32,stieger2021,MMP_merge_then_adapt,CSP,lda,none,0,0,,5156,mmd,,,,,merge_then_adapt,coral,anchor_one_shot,main,3.0,4.0,sess_3,dropped,False,,,direct,0.14451262978515067,0.15836929149227907,0.1810312590904612
